object,date,time,exposure,altitude,airmass,ra,dec,notes,filename,snr,ic,simult
tflat,2024-11-26,23:54:19,30,89.3,1.0,23:36:52.217,-29:59:57.70,,20241126_235419_380422_flat.fits,126,no,flat
tcomp,2024-11-27,00:40:28,90,89.3,1.0,00:23:08.392,-29:59:57.70,,20241127_004028_091723_comp.fits,13,no,ThAr
hd36734,2024-11-27,01:45:37,60,40.2,1.5,05:31:31.066,-45:55:02.10,sim. ThAr,20241127_014537_969350_hd36734.fits,15,no,off
